EUR/USD;dia;01:50:00;CALL;5
EUR/USD;dia;02:10:00;PUT;5
EUR/GBP;dia;02:15:00;CALL;5
EUR/USD;dia;03:00:00;CALL;5
GBP/USD;dia;03:55:00;CALL;5
GBP/JPY;dia;05:40:00;CALL;5
AUD/CAD;dia;06:35:00;PUT;5
GBP/CAD;dia;06:45:00;CALL;5
EUR/USD;dia;06:50:00;CALL;5
GBP/JPY;dia;07:30:00;CALL;5
GBP/CAD;dia;07:45:00;CALL;5
GBP/CAD;dia;09:05:00;CALL;5
GBP/CAD;dia;09:30:00;CALL;5
AUD/CAD;dia;09:45:00;PUT;5
AUD/CAD;dia;10:40:00;PUT;5
GBP/USD;dia;11:00:00;PUT;5
EUR/USD;dia;11:15:00;PUT;5
CAD/JPY;dia;11:30:00;PUT;5
USD/CHF;dia;11:35:00;PUT;5
EUR/GBP;dia;11:40:00;CALL;5
USD/CHF;dia;11:55:00;PUT;5
AUD/JPY;dia;12:25:00;PUT;5
EUR/JPY;dia;12:25:00;PUT;5
AUD/CAD;dia;13:15:00;PUT;5
GBP/USD;dia;13:20:00;PUT;5
EUR/USD;dia;13:30:00;CALL;5
GBP/CAD;dia;13:45:00;CALL;5
GBP/USD;dia;15:00:00;CALL;5
GBP/USD;dia;16:30:00;PUT;5
